evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
1618 2.2281639929
2492 2.2603978300
3575 2.4366471735
8014 2.4752475248
16836 0.6760411033
evaluations raw_y
1 1.3340448239
2 1.6087516088
79 1.7730496454
114 1.8142235123
123 1.9747235387
142 2.3629489603
170 2.5150905433
16836 1.3691128149
evaluations raw_y
1 0.9238728751
2 1.9747235387
41 2.2935779817
16836 0.9462528388
evaluations raw_y
1 1.1150758252
2 1.4060742407
9 1.4863258026
11 1.5006002401
27 1.7146776406
58 1.9500780031
72 2.4366471735
89 2.7352297593
16836 1.2007684918
evaluations raw_y
1 0.7229612493
2 1.0841283608
3 1.5762925599
12 1.9747235387
57 2.0525451560
159 2.4752475248
16836 0.8722958828
evaluations raw_y
1 0.7926442613
3 1.2195121951
4 1.2588116818
5 1.3572204126
6 1.6600265604
162 1.6960651289
174 1.7146776406
181 1.7730496454
199 2.1367521368
226 2.3277467412
252 2.5150905433
401 2.8344671202
409 2.9976019185
452 3.3156498674
687 3.6231884058
958 3.7091988131
5005 3.7091988131
evaluations raw_y
1 0.9462528388
2 1.0620220901
3 1.2195121951
4 1.4450867052
107 1.4723203769
157 1.6778523490
189 2.0000000000
275 2.3629489603
351 2.8868360277
405 3.3875338753
505 3.6231884058
5005 1.6778523490
evaluations raw_y
1 1.0339123242
2 1.0620220901
4 1.3691128149
6 1.4318442153
7 1.9025875190
108 1.9747235387
180 2.1663778163
185 2.2281639929
252 2.8868360277
457 3.0562347188
531 3.1806615776
613 3.2467532468
821 3.5410764873
869 3.6231884058
946 3.8940809969
4639 4.7169811321
5005 4.7169811321
evaluations raw_y
1 1.6960651289
27 1.7337031900
31 1.9747235387
51 2.1663778163
91 2.1968365554
145 2.8344671202
171 2.9976019185
544 3.1806615776
5005 1.7146776406
evaluations raw_y
1 1.4450867052
20 1.5006002401
22 1.8573551263
138 2.2281639929
164 2.2935779817
175 2.3277467412
188 2.3992322457
233 2.7352297593
286 2.7839643653
389 3.0562347188
757 3.1806615776
5005 3.1806615776
evaluations raw_y
1 0.7365939894
2 1.0477787091
3 1.3340448239
7 1.3691128149
11 1.4060742407
14 1.4723203769
23 1.6960651289
61 2.0798668885
296 2.2603978300
12090 0.7365939894
evaluations raw_y
1 1.0407993339
3 1.2388503469
5 1.3812154696
16 1.8355359765
39 1.9260400616
76 2.1367521368
3665 2.1663778163
3739 2.3992322457
3869 2.4366471735
12090 0.9520182788
evaluations raw_y
1 0.6480041472
2 0.9238728751
3 1.5151515152
7 1.9500780031
1453 2.1079258010
7249 2.2935779817
12090 0.8218277449
evaluations raw_y
1 0.6172839506
3 0.9819324430
4 1.3572204126
17 1.4863258026
35 1.6778523490
37 1.7531556802
57 1.8142235123
67 1.9260400616
81 2.3277467412
12090 0.4747436384
evaluations raw_y
1 1.5605493134
9 2.1367521368
176 2.2281639929
187 2.2603978300
700 2.3277467412
1903 2.4366471735
3358 2.5150905433
3902 2.5987525988
12090 1.7531556802
evaluations raw_y
1 1.5006002401
20 1.5151515152
32 1.5762925599
36 1.7730496454
74 1.9260400616
147 1.9500780031
189 2.0525451560
202 2.1663778163
1822 2.2935779817
1851 2.5562372188
5151 1.2388503469
evaluations raw_y
1 1.5151515152
9 1.8573551263
87 2.2935779817
95 2.5562372188
5151 1.2388503469
evaluations raw_y
1 1.3935340022
2 2.8868360277
916 2.9976019185
935 3.0562347188
954 3.2467532468
5151 1.3455328310
evaluations raw_y
1 1.1916110582
2 1.2899896801
3 1.4188422247
8 1.5006002401
10 1.5451174289
26 1.6960651289
73 1.8573551263
87 2.0525451560
436 2.1079258010
905 2.1968365554
1190 2.4366471735
1234 2.5562372188
3939 2.5987525988
5151 1.3227513228
evaluations raw_y
1 1.2388503469
2 1.3116474292
5 1.4450867052
15 1.6778523490
25 1.9500780031
55 1.9747235387
95 2.0000000000
433 2.2935779817
5151 1.2388503469
evaluations raw_y
1 0.4210171775
2 0.7196315486
3 1.3007284079
8 1.6425755585
12 1.7337031900
26 1.7531556802
53 1.9260400616
57 1.9500780031
1902 2.4366471735
1972 2.5150905433
2684 2.7839643653
3731 2.8344671202
3880 3.1172069825
3903 3.1806615776
5551 1.7730496454
evaluations raw_y
1 1.1649580615
2 1.2899896801
3 1.3227513228
8 1.4585764294
28 1.5299877601
47 1.5762925599
63 1.8573551263
103 2.0525451560
188 2.0798668885
436 2.2603978300
460 2.3992322457
1941 2.5150905433
2090 2.5987525988
2612 2.6427061311
2635 2.6881720430
3865 2.9976019185
4156 3.1172069825
5255 3.4626038781
5551 2.4752475248
evaluations raw_y
1 1.2487512488
3 2.1079258010
51 2.5150905433
1919 2.7352297593
1933 2.9411764706
2727 2.9976019185
2788 3.0562347188
2938 3.3156498674
4357 3.3875338753
5551 3.3156498674
evaluations raw_y
1 0.8973438622
2 1.2899896801
3 1.4863258026
12 1.8355359765
22 2.7352297593
1893 2.9976019185
3911 3.3875338753
4267 3.5410764873
4342 3.7091988131
5551 2.1367521368
evaluations raw_y
1 1.6778523490
5 2.5562372188
1912 2.7352297593
1927 3.3156498674
2269 3.3875338753
2695 3.4626038781
3793 3.5410764873
5551 1.8142235123
evaluations raw_y
1 1.0620220901
2 1.4060742407
24 1.5762925599
32 1.6254876463
63 1.9025875190
148 2.6427061311
450 2.7839643653
895 3.9936102236
5292 0.8579272478
evaluations raw_y
1 0.7926442613
2 1.2690355330
11 1.3572204126
20 1.7730496454
112 1.8796992481
113 1.9260400616
283 2.2935779817
501 2.4366471735
549 2.8868360277
790 3.1172069825
844 3.2467532468
2693 3.6231884058
3128 3.7091988131
5292 1.3812154696
evaluations raw_y
1 1.0993843448
3 1.1312217195
4 1.3691128149
10 1.6087516088
45 1.6425755585
57 1.8142235123
143 2.1367521368
380 2.5562372188
773 2.8868360277
776 3.1806615776
1355 3.2467532468
1488 3.8940809969
2638 4.0983606557
3078 4.2087542088
5292 1.5451174289
evaluations raw_y
1 1.1312217195
2 1.1916110582
9 1.2588116818
14 1.6778523490
37 1.9025875190
250 1.9500780031
386 2.0259319287
432 2.0525451560
441 2.1663778163
455 2.2603978300
558 2.3277467412
775 2.5987525988
780 2.7352297593
1081 3.0562347188
1483 3.1172069825
1510 3.2467532468
1770 3.5410764873
1857 3.7091988131
2241 3.8940809969
5292 2.5150905433
evaluations raw_y
1 1.1916110582
2 1.2388503469
3 1.2899896801
6 1.7531556802
9 2.0525451560
205 2.1663778163
342 2.3629489603
478 2.5987525988
558 2.9411764706
1208 3.1172069825
1856 3.7091988131
3321 3.7993920973
4058 3.9936102236
4655 4.3252595156
5292 1.6425755585
evaluations raw_y
1 1.0548523207
7 1.1825922422
12 1.3455328310
27 1.4060742407
31 1.6254876463
78 1.7730496454
214 1.8355359765
350 1.8796992481
535 1.9747235387
570 2.0798668885
1276 2.4366471735
1323 2.5562372188
1325 2.5987525988
1351 2.6881720430
2034 2.8344671202
2542 3.7091988131
3324 3.7993920973
5702 4.3252595156
6175 2.2603978300
evaluations raw_y
1 1.3691128149
6 1.4450867052
10 1.4863258026
18 1.7934002869
66 2.3992322457
1280 2.6427061311
1384 3.0562347188
2320 3.1172069825
2549 3.7091988131
6175 1.6425755585
evaluations raw_y
1 0.8626639061
2 1.0692899914
3 1.5299877601
7 1.6254876463
16 1.7934002869
635 1.9025875190
1121 2.0000000000
1276 2.3277467412
1278 2.6427061311
1726 2.7839643653
2561 2.8868360277
2809 3.3156498674
6175 2.0798668885
evaluations raw_y
1 1.5299877601
19 1.7146776406
29 2.3277467412
203 2.7839643653
1313 2.9976019185
1379 3.1172069825
1678 3.3156498674
2711 3.3875338753
6175 1.6087516088
evaluations raw_y
1 1.0204081633
2 1.8142235123
103 2.2603978300
113 2.2935779817
228 2.3629489603
1366 2.4752475248
1481 2.5562372188
1562 2.5987525988
1694 2.7839643653
2043 2.9411764706
2587 2.9976019185
3577 3.1172069825
3788 3.4626038781
3931 3.6231884058
4215 3.7993920973
5426 4.3252595156
6175 1.4863258026
evaluations raw_y
1 1.2899896801
4 1.5605493134
15 1.9025875190
153 2.0259319287
166 2.0798668885
1852 2.1079258010
8047 2.3277467412
19503 1.0271158587
evaluations raw_y
1 0.6789788159
2 0.9520182788
4 1.4450867052
13 1.8142235123
26 1.8796992481
142 2.1663778163
19503 0.6789788159
evaluations raw_y
1 1.0271158587
2 1.3812154696
5 1.7337031900
21 2.3277467412
19503 1.0072522160
evaluations raw_y
1 1.2690355330
2 1.4585764294
5 1.4863258026
6 1.6600265604
11 1.7146776406
116 1.7730496454
129 2.0798668885
3021 2.2603978300
19503 1.0137875101
evaluations raw_y
1 1.4188422247
12 1.4318442153
13 1.5451174289
19 1.5923566879
21 1.6087516088
47 1.6600265604
52 1.7337031900
66 1.8142235123
109 1.9747235387
110 2.6881720430
19503 1.2899896801
evaluations raw_y
1 1.7337031900
29 2.3629489603
307 2.4366471735
1651 2.6427061311
2462 2.7352297593
2919 2.7839643653
8001 1.0766580534
evaluations raw_y
1 0.8305647841
2 1.0072522160
5 1.1916110582
6 1.4188422247
16 1.5451174289
27 1.7934002869
28 2.0525451560
1766 2.2281639929
8001 1.0204081633
evaluations raw_y
1 0.8871540099
2 1.4060742407
3 1.9500780031
246 1.9747235387
2624 2.0798668885
6261 2.1367521368
6670 2.4752475248
8001 0.9025270758
evaluations raw_y
1 1.0339123242
3 1.5451174289
5 2.1367521368
5012 2.4752475248
8001 1.2007684918
evaluations raw_y
1 1.1649580615
8 1.2690355330
11 1.4863258026
14 1.5451174289
25 1.9747235387
154 2.0000000000
280 2.0259319287
708 2.0525451560
735 2.5562372188
8001 1.5006002401
evaluations raw_y
1 0.8722958828
2 1.1150758252
3 1.1916110582
5 1.2588116818
7 1.3572204126
10 1.8355359765
26 2.3992322457
4570 2.6427061311
7101 2.7839643653
9025 2.0798668885
evaluations raw_y
1 0.7365939894
3 0.9293680297
4 1.2690355330
10 1.4723203769
17 1.7531556802
52 1.7934002869
71 2.1079258010
4581 2.2935779817
4674 2.4752475248
4870 2.5150905433
5033 2.5562372188
5733 2.6881720430
9025 1.4188422247
evaluations raw_y
1 0.7886435331
3 1.0072522160
6 1.1394712853
11 1.5923566879
40 2.0259319287
4591 2.0798668885
4596 2.1079258010
4635 2.1367521368
4637 2.2281639929
4828 2.2603978300
4967 2.3277467412
5432 2.5562372188
7316 2.6427061311
9024 2.7352297593
9025 1.9025875190
evaluations raw_y
1 1.5451174289
9 1.7337031900
33 2.1079258010
397 2.2935779817
2171 2.3992322457
2309 3.3875338753
4809 3.4626038781
6577 3.5410764873
9025 2.4366471735
evaluations raw_y
1 1.2007684918
4 1.2195121951
5 1.3340448239
6 1.5299877601
8 1.8796992481
72 1.9747235387
375 2.0525451560
1594 2.1663778163
1616 2.3277467412
2425 2.6427061311
4612 2.6881720430
4670 2.7352297593
4815 2.8344671202
5180 3.0562347188
5263 3.3156498674
9025 1.1478420569
evaluations raw_y
1 1.2487512488
10 1.4863258026
20 1.6425755585
65 1.8796992481
107 2.0000000000
512 2.0525451560
792 2.2935779817
1377 2.3277467412
1516 2.5987525988
3195 2.8344671202
13530 1.5762925599
evaluations raw_y
1 0.6053268765
2 1.5299877601
10 1.6425755585
62 1.8355359765
1884 1.9747235387
2669 2.0259319287
3243 2.3277467412
8962 3.1806615776
