evaluations raw_y
1 -578.0000000000
2 -423.0000000000
3 -376.0000000000
4 -335.0000000000
7 -322.0000000000
11 -261.0000000000
16 -255.0000000000
35 -221.0000000000
1180 -168.0000000000
1475 -141.0000000000
1508 -134.0000000000
1711 -128.0000000000
2021 -28.0000000000
3232 -21.0000000000
4033 -8.0000000000
5365 -74.0000000000
evaluations raw_y
1 -322.0000000000
3 -296.0000000000
18 -289.0000000000
28 -282.0000000000
29 -262.0000000000
109 -249.0000000000
176 -248.0000000000
638 -221.0000000000
775 -201.0000000000
935 -194.0000000000
1094 -174.0000000000
1342 -155.0000000000
1685 -154.0000000000
1916 -142.0000000000
1981 -121.0000000000
2015 -101.0000000000
2296 -88.0000000000
2692 -75.0000000000
2903 -69.0000000000
3628 -56.0000000000
4664 -42.0000000000
4838 -36.0000000000
5113 -35.0000000000
5365 -36.0000000000
evaluations raw_y
1 -308.0000000000
10 -302.0000000000
23 -288.0000000000
676 -255.0000000000
704 -188.0000000000
1508 -161.0000000000
2026 -141.0000000000
2107 -128.0000000000
2512 -122.0000000000
2903 -61.0000000000
3368 -54.0000000000
3506 -34.0000000000
4771 -21.0000000000
5066 -15.0000000000
5365 -88.0000000000
evaluations raw_y
1 -416.0000000000
5 -369.0000000000
7 -356.0000000000
8 -215.0000000000
568 -160.0000000000
1139 -147.0000000000
1508 -134.0000000000
1540 -94.0000000000
2107 -74.0000000000
2666 -55.0000000000
3404 -41.0000000000
4564 -34.0000000000
5365 -81.0000000000
evaluations raw_y
1 -376.0000000000
4 -342.0000000000
8 -275.0000000000
269 -268.0000000000
404 -194.0000000000
775 -161.0000000000
905 -155.0000000000
1370 -148.0000000000
1441 -142.0000000000
1475 -141.0000000000
1571 -95.0000000000
2531 -68.0000000000
2702 -61.0000000000
3628 -54.0000000000
3998 -42.0000000000
4070 -22.0000000000
5365 -42.0000000000
evaluations raw_y
1 -376.0000000000
10 -295.0000000000
23 -288.0000000000
31 -282.0000000000
35 -275.0000000000
208 -262.0000000000
404 -221.0000000000
473 -201.0000000000
1139 -167.0000000000
1367 -161.0000000000
1406 -154.0000000000
1658 -81.0000000000
2566 -74.0000000000
2696 -67.0000000000
2773 -61.0000000000
3365 -34.0000000000
5113 -22.0000000000
5365 -42.0000000000
evaluations raw_y
1 -282.0000000000
38 -276.0000000000
239 -262.0000000000
298 -228.0000000000
494 -221.0000000000
704 -154.0000000000
1117 -134.0000000000
1508 -127.0000000000
1805 -114.0000000000
2402 -88.0000000000
2702 -81.0000000000
2773 -80.0000000000
3358 -21.0000000000
5365 -67.0000000000
evaluations raw_y
1 -349.0000000000
6 -302.0000000000
12 -248.0000000000
740 -207.0000000000
1139 -135.0000000000
1441 -108.0000000000
2206 -95.0000000000
2702 -81.0000000000
3313 -75.0000000000
3404 -48.0000000000
5351 -35.0000000000
5365 -41.0000000000
evaluations raw_y
