evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
1355 2.2935779817
3538 2.6427061311
4690 2.6881720430
5365 1.8355359765
evaluations raw_y
1 1.1649580615
4 1.2388503469
7 1.7531556802
18 2.0525451560
1250 2.2935779817
2471 2.4366471735
2531 2.5150905433
3365 2.7352297593
5365 1.2100677638
evaluations raw_y
1 0.9881422925
2 1.4450867052
6 1.8355359765
2597 2.0259319287
4595 2.1079258010
4622 2.2281639929
5176 2.4366471735
5288 2.4752475248
5365 1.5299877601
evaluations raw_y
1 1.1649580615
4 1.2588116818
5 1.6960651289
12 1.7337031900
18 1.9500780031
1250 2.0000000000
1315 2.0798668885
1865 2.5150905433
5365 1.5299877601
evaluations raw_y
1 0.9462528388
3 1.2291052114
5 1.3340448239
9 1.5923566879
74 1.9025875190
1601 2.0525451560
1736 2.2603978300
4024 2.4752475248
5365 1.9260400616
evaluations raw_y
1 1.4318442153
5 1.4585764294
7 1.5006002401
15 2.0259319287
2696 2.1079258010
2702 2.6427061311
5365 1.3691128149
evaluations raw_y
1 0.6760411033
2 0.8175277959
5 1.0072522160
8 1.0620220901
9 1.6087516088
10 2.1968365554
2699 2.6881720430
5365 2.0000000000
evaluations raw_y
1 1.0137875101
3 1.2899896801
5 1.5299877601
8 1.6960651289
11 1.8355359765
36 1.9025875190
353 2.1367521368
1315 2.2935779817
3824 2.3992322457
5363 2.5150905433
5365 1.3340448239
evaluations raw_y
1 0.9578544061
3 1.0841283608
5 1.2899896801
10 1.3812154696
12 1.4318442153
14 1.7531556802
16 1.9025875190
1234 2.2281639929
1334 2.2935779817
2033 2.3277467412
2351 2.4752475248
5365 1.2588116818
evaluations raw_y
1 0.8261731659
2 1.0008006405
4 1.0766580534
5 1.7337031900
109 1.9260400616
1070 2.1663778163
5365 1.3340448239
evaluations raw_y
1 0.5983724270
3 0.8973438622
5 1.1230907457
7 1.3340448239
19 1.8355359765
33 2.0000000000
1160 2.0798668885
2033 2.2281639929
4031 2.9411764706
5365 1.9500780031
evaluations raw_y
1 0.8090614887
2 0.8350033400
3 0.8394895903
5 1.0766580534
6 1.2588116818
8 1.4318442153
16 1.5151515152
239 1.9260400616
1094 2.3277467412
5363 2.5562372188
5365 1.6778523490
evaluations raw_y
1 0.8132726090
2 0.9758001561
3 1.5006002401
17 1.5451174289
21 2.4366471735
5365 1.9747235387
evaluations raw_y
1 0.8922198430
2 1.0204081633
5 1.1916110582
6 1.2291052114
7 1.4723203769
10 1.5151515152
19 1.7531556802
659 2.0259319287
694 2.0525451560
1019 2.0798668885
1865 2.3992322457
3137 2.5562372188
4031 2.6881720430
5365 2.0259319287
evaluations raw_y
1 0.9578544061
6 1.2388503469
12 1.7146776406
16 1.7730496454
24 1.7934002869
33 1.8573551263
428 1.9025875190
964 1.9500780031
1180 2.1968365554
2030 2.3277467412
2933 2.3629489603
4988 2.4752475248
5365 1.4585764294
evaluations raw_y
1 1.0993843448
5 1.1649580615
6 1.2588116818
9 1.3455328310
24 1.4863258026
298 1.7146776406
1315 1.9025875190
1783 2.2935779817
2582 2.3629489603
3313 2.3992322457
4736 2.5150905433
5365 1.8573551263
evaluations raw_y
1 0.9944311854
2 1.0993843448
3 1.3116474292
7 1.6087516088
16 1.6425755585
35 1.8355359765
809 2.0259319287
1441 2.6881720430
2549 2.7352297593
5365 1.9747235387
evaluations raw_y
1 1.0766580534
2 1.6425755585
27 1.9500780031
28 2.3277467412
1540 2.4366471735
5365 1.2588116818
evaluations raw_y
1 0.6297229219
2 1.2291052114
3 1.6425755585
16 1.8573551263
694 2.1367521368
1826 2.1968365554
1900 2.2935779817
2471 2.3629489603
4988 2.3992322457
5365 1.5762925599
evaluations raw_y
1 1.1825922422
3 1.4863258026
5 1.6087516088
12 1.7531556802
18 2.2935779817
5365 2.4366471735
