evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
704 2.8868360277
2036 3.1172069825
5365 2.3992322457
evaluations raw_y
1 0.6400409626
2 1.1649580615
7 1.3572204126
11 1.6600265604
404 1.9500780031
1045 2.1663778163
1367 2.5150905433
2738 2.9976019185
5135 3.7993920973
5365 2.0798668885
evaluations raw_y
1 1.6778523490
4 1.6960651289
13 2.1663778163
1160 2.2935779817
1250 2.3629489603
2492 2.5562372188
3709 2.5987525988
5365 1.9260400616
evaluations raw_y
1 1.3935340022
7 1.8573551263
143 2.0000000000
1160 2.1079258010
1217 2.2281639929
1846 2.3277467412
1916 2.3629489603
3599 2.3992322457
5365 1.3116474292
evaluations raw_y
1 1.0766580534
4 1.7934002869
551 1.9260400616
874 1.9747235387
1180 2.2281639929
1783 2.4752475248
3347 2.5562372188
5365 1.4318442153
evaluations raw_y
1 1.6254876463
10 1.7934002869
353 1.8796992481
1315 2.1367521368
3628 2.5987525988
5360 2.9976019185
5365 1.7934002869
evaluations raw_y
1 0.6760411033
2 1.0917030568
6 1.3340448239
8 1.7531556802
10 1.7730496454
239 1.8573551263
809 1.9025875190
1349 2.1367521368
1900 2.1663778163
2030 2.2935779817
3290 2.4366471735
4294 2.4752475248
4690 2.7839643653
5365 1.3007284079
evaluations raw_y
1 1.0620220901
2 1.1737089202
4 1.4450867052
8 1.9260400616
15 2.0259319287
1325 2.0798668885
1475 2.5150905433
4294 2.7839643653
5365 1.6254876463
evaluations raw_y
1 1.5605493134
33 1.8355359765
683 2.0798668885
694 2.1968365554
842 2.4752475248
1736 2.5987525988
5365 2.1079258010
evaluations raw_y
1 0.9697439876
8 1.6425755585
638 1.7730496454
1217 2.0525451560
1315 2.1968365554
1571 2.2281639929
3929 2.2935779817
4697 2.3992322457
5321 2.7352297593
5365 1.6960651289
evaluations raw_y
1 1.0620220901
2 1.1312217195
3 1.3340448239
5 1.7146776406
37 1.9500780031
1019 2.1367521368
3313 2.5987525988
3656 3.3875338753
5365 2.7352297593
evaluations raw_y
1 1.5605493134
18 1.7146776406
21 1.7730496454
26 1.9500780031
599 2.0525451560
1019 2.1079258010
1045 2.1968365554
1900 2.2935779817
2582 2.6427061311
3439 2.8344671202
5365 2.6427061311
evaluations raw_y
1 0.9025270758
3 0.9349289454
4 1.4188422247
11 1.4318442153
18 1.5006002401
24 1.7934002869
494 1.9500780031
1475 2.0259319287
2021 2.3992322457
3178 2.5562372188
4139 2.6881720430
4322 2.8344671202
5365 1.7531556802
evaluations raw_y
1 0.7400828893
3 1.0008006405
5 1.2794268168
10 1.4450867052
16 1.7146776406
24 2.1663778163
1250 2.2281639929
2324 2.2935779817
4672 2.3629489603
5365 1.9025875190
evaluations raw_y
1 1.1071744907
2 1.3007284079
5 1.5923566879
28 1.7730496454
404 1.7934002869
626 1.8355359765
1180 2.2935779817
2702 2.3277467412
3248 2.4366471735
3365 2.4752475248
3824 2.5987525988
5365 1.2007684918
evaluations raw_y
1 0.7263219059
2 1.1737089202
6 1.4585764294
13 1.9500780031
1070 2.0000000000
1292 2.0525451560
1970 2.1079258010
2008 2.3277467412
2674 2.3629489603
3323 2.4366471735
3569 2.5987525988
5365 2.1367521368
evaluations raw_y
1 1.0766580534
2 1.2588116818
16 1.5299877601
17 1.9747235387
638 2.0259319287
2021 2.1079258010
2033 2.5150905433
2582 2.5562372188
4685 2.6881720430
5213 3.1172069825
5365 2.0259319287
evaluations raw_y
1 0.8305647841
2 1.0620220901
4 1.5299877601
5 1.6600265604
8 1.7531556802
9 1.8142235123
16 2.2935779817
2206 2.3277467412
5365 1.7934002869
evaluations raw_y
1 1.6254876463
30 1.6960651289
239 1.7934002869
379 1.9747235387
533 2.1663778163
992 2.5150905433
1540 2.7839643653
2872 2.9976019185
5365 1.9260400616
evaluations raw_y
1 0.9238728751
2 0.9758001561
3 1.6600265604
34 1.6960651289
1117 1.7934002869
1736 2.2281639929
5365 2.0000000000
