evaluations raw_y
1 21.5030740467
2 16.9071869073
3 5.1698713167
29 5.1615961780
124 4.5463826298
351 4.0675101119
774 3.5607156796
1016 2.5149726719
1062 2.4575822643
1177 2.4295357752
1393 1.4654399866
1504 1.2233420027
1581 1.2198534459
1641 1.0970804917
1718 0.8982548789
1800 0.6899890996
1832 0.6533912111
2154 0.4530430001
2345 0.4097884986
2448 0.4047250202
2546 0.3854159881
2599 0.3111051624
2714 0.2957206915
2751 0.2816541101
2761 0.2462300954
2795 0.2344424710
2939 0.2183605120
2957 0.1525345394
3130 0.1458672028
3318 0.1385512420
3498 0.1346555407
3638 0.1323984561
3792 0.1307882981
3812 0.1297059396
3872 0.1283474537
3874 0.1214369006
3974 0.1190128529
4048 0.1133476001
4362 0.1098544137
4596 0.1094255612
4684 0.1092990087
4694 0.1088651046
4763 0.1085765485
4913 0.1083356406
4917 0.1083282576
4929 0.1081551638
4942 0.1079983220
5011 0.1079488686
5061 0.1077104864
5235 0.1076566014
5253 0.1074568885
5306 0.1073708291
5309 0.1071676881
5384 0.1071554526
5410 0.1064710563
5802 0.1064421138
5947 0.1064402931
5983 0.1063347804
6009 0.1060408045
6203 0.1059993521
6375 0.1059327207
6439 0.1059013378
6458 0.1058330709
6513 0.1058209856
6526 0.1057628364
6703 0.1057399602
6783 0.1057201215
6877 0.1056910186
6956 0.1056640865
6970 0.1056299704
7165 0.1056282310
7202 0.1056135540
7278 0.1056123065
7320 0.1055863185
7913 0.1055819163
7992 0.1055802507
8083 0.1055743612
8299 0.1055731968
8355 0.1055724571
8360 0.1055695008
8425 0.1055694760
8438 0.1055647981
8777 0.1055642186
8786 0.1055639036
8873 0.1055623362
8877 0.1055619983
8907 0.1055618710
8935 0.1055617731
9066 0.1055608582
9185 0.1055608090
9228 0.1055607394
9281 0.1055599545
9559 0.1055594866
9682 0.1055593414
9794 0.1055591115
9921 0.1055589618
10116 0.1055588643
10327 0.1055587797
10488 0.1055586976
10529 0.1055586107
10754 0.1055585761
10775 0.1055585609
10837 0.1055584946
10870 0.1055584500
10923 0.1055584293
10982 0.1055584110
11065 0.1055584084
11078 0.1055583696
11182 0.1055583293
11305 0.1055583086
11334 0.1055582823
11464 0.1055582590
11547 0.1055582568
11550 0.1055582425
11627 0.1055582261
11678 0.1055581784
11804 0.1055581681
11957 0.1055581638
11967 0.1055581467
11969 0.1055581189
12024 0.1055581073
12071 0.1055580837
12263 0.1055580802
12301 0.1055580782
12304 0.1055580523
12403 0.1055580315
12426 0.1055580304
12608 0.1055580106
12691 0.1055580022
12748 0.1055579947
12804 0.1055579901
12866 0.1055579882
12874 0.1055579862
12879 0.1055579840
12928 0.1055579792
12935 0.1055579728
12986 0.1055579651
13038 0.1055579608
13094 0.1055579604
13105 0.1055579522
13168 0.1055579207
13275 0.1055579098
13306 0.1055579074
13404 0.1055579040
13444 0.1055578965
13544 0.1055578950
13555 0.1055578932
13648 0.1055578880
13685 0.1055578866
13707 0.1055578855
13785 0.1055578807
13913 0.1055578781
13944 0.1055578775
13955 0.1055578652
13989 0.1055578599
14113 0.1055578589
14121 0.1055578529
14163 0.1055578446
14198 0.1055578432
14211 0.1055578427
14300 0.1055578377
14350 0.1055578371
14374 0.1055578367
14377 0.1055578345
14404 0.1055577905
14550 0.1055577852
14613 0.1055577819
14674 0.1055577635
14750 0.1055577625
14756 0.1055577570
14779 0.1055577457
14932 0.1055577389
14981 0.1055577360
15023 0.1055577316
15024 0.1055577266
15078 0.1055577220
15086 0.1055577186
15151 0.1055577174
15198 0.1055577107
15336 0.1055577105
15362 0.1055577042
15389 0.1055577040
15408 0.1055577034
15487 0.1055577032
15511 0.1055577028
15523 0.1055577003
15573 0.1055576998
15668 0.1055576994
15790 0.1055576992
15872 0.1055576989
16051 0.1055576983
16397 0.1055576978
16461 0.1055576975
16481 0.1055576971
16615 0.1055576966
16746 0.1055576961
16793 0.1055576957
17012 0.1055576955
17073 0.1055576953
17210 0.1055576950
17322 0.1055576948
17397 0.1055576943
17643 0.1055576941
17784 0.1055576938
17798 0.1055576935
17924 0.1055576929
18006 0.1055576924
18133 0.1055576921
18140 0.1055576918
18233 0.1055576911
18370 0.1055576908
18385 0.1055576905
18462 0.1055576900
18508 0.1055576897
18638 0.1055576895
18756 0.1055576892
18772 0.1055576890
18821 0.1055576889
18829 0.1055576886
18854 0.1055576882
18982 0.1055576881
19025 0.1055576879
19068 0.1055576874
19159 0.1055576873
19210 0.1055576871
19222 0.1055576861
19343 0.1055576856
19395 0.1055576852
19493 0.1055576847
19628 0.1055576845
19636 0.1055576843
19709 0.1055576839
19729 0.1055576837
19732 0.1055576834
19757 0.1055576826
19947 0.1055576813
20022 0.1055576809
20137 0.1055576803
20225 0.1055576796
20425 0.1055576792
20463 0.1055576790
20521 0.1055576788
20542 0.1055576784
20669 0.1055576777
20744 0.1055576755
20821 0.1055576753
20823 0.1055576749
20951 0.1055576742
21002 0.1055576733
21063 0.1055576720
21095 0.1055576717
