evaluations raw_y
1 32.0000000000
24 33.0000000000
40 34.0000000000
593 35.0000000000
659 37.0000000000
838 38.0000000000
8389 39.0000000000
8626 40.0000000000
8628 41.0000000000
42197 31.0000000000
evaluations raw_y
1 31.0000000000
29 32.0000000000
213 33.0000000000
237 34.0000000000
246 35.0000000000
298 36.0000000000
1754 37.0000000000
2169 38.0000000000
6495 39.0000000000
6714 40.0000000000
7132 42.0000000000
31829 43.0000000000
42197 26.0000000000
evaluations raw_y
1 23.0000000000
3 25.0000000000
5 29.0000000000
656 30.0000000000
658 31.0000000000
659 32.0000000000
665 34.0000000000
2932 35.0000000000
2962 36.0000000000
2964 37.0000000000
3070 38.0000000000
3348 40.0000000000
3460 41.0000000000
14327 43.0000000000
14515 44.0000000000
42202 31.0000000000
evaluations raw_y
1 20.0000000000
3 21.0000000000
4 24.0000000000
9 32.0000000000
1413 33.0000000000
1739 34.0000000000
1759 35.0000000000
1760 36.0000000000
1762 37.0000000000
5247 38.0000000000
6152 40.0000000000
28536 41.0000000000
36326 42.0000000000
42202 30.0000000000
evaluations raw_y
1 21.0000000000
2 27.0000000000
70 28.0000000000
787 29.0000000000
802 30.0000000000
845 32.0000000000
1407 33.0000000000
1550 34.0000000000
1557 35.0000000000
1572 37.0000000000
9921 38.0000000000
9984 39.0000000000
15497 40.0000000000
15629 41.0000000000
33289 42.0000000000
42204 28.0000000000
evaluations raw_y
1 28.0000000000
5 29.0000000000
9 30.0000000000
56 31.0000000000
91 32.0000000000
494 33.0000000000
597 34.0000000000
600 36.0000000000
1932 37.0000000000
1947 38.0000000000
2351 39.0000000000
2385 40.0000000000
42200 35.0000000000
evaluations raw_y
1 24.0000000000
2 25.0000000000
3 26.0000000000
7 29.0000000000
35 32.0000000000
423 33.0000000000
477 34.0000000000
487 35.0000000000
602 36.0000000000
645 37.0000000000
686 38.0000000000
791 39.0000000000
1195 40.0000000000
5217 41.0000000000
7257 43.0000000000
42199 33.0000000000
evaluations raw_y
1 27.0000000000
2 28.0000000000
6 29.0000000000
43 32.0000000000
2386 33.0000000000
2496 34.0000000000
2506 35.0000000000
2522 36.0000000000
5974 37.0000000000
6112 38.0000000000
6145 39.0000000000
19423 40.0000000000
22070 41.0000000000
22098 44.0000000000
42200 23.0000000000
evaluations raw_y
1 25.0000000000
2 26.0000000000
6 27.0000000000
9 30.0000000000
821 31.0000000000
854 32.0000000000
980 33.0000000000
983 35.0000000000
1060 36.0000000000
7077 37.0000000000
7261 38.0000000000
7524 39.0000000000
7640 41.0000000000
42203 28.0000000000
evaluations raw_y
1 26.0000000000
3 27.0000000000
8 28.0000000000
10 32.0000000000
461 33.0000000000
1767 34.0000000000
1934 36.0000000000
1959 37.0000000000
3475 38.0000000000
4624 39.0000000000
4786 40.0000000000
4800 41.0000000000
36914 43.0000000000
42204 22.0000000000
evaluations raw_y
1 19.0000000000
2 30.0000000000
6 31.0000000000
39 32.0000000000
634 34.0000000000
1778 35.0000000000
2504 37.0000000000
3268 38.0000000000
3525 39.0000000000
9792 40.0000000000
9794 41.0000000000
13404 42.0000000000
42201 36.0000000000
evaluations raw_y
1 25.0000000000
3 32.0000000000
228 33.0000000000
233 34.0000000000
235 35.0000000000
405 37.0000000000
625 38.0000000000
652 39.0000000000
12013 40.0000000000
15996 41.0000000000
34996 42.0000000000
42198 28.0000000000
evaluations raw_y
1 28.0000000000
6 30.0000000000
78 32.0000000000
449 33.0000000000
598 35.0000000000
655 36.0000000000
2341 38.0000000000
3708 39.0000000000
19297 40.0000000000
42199 29.0000000000
evaluations raw_y
1 21.0000000000
2 26.0000000000
7 27.0000000000
464 28.0000000000
1012 29.0000000000
1045 30.0000000000
2012 31.0000000000
2118 32.0000000000
2134 34.0000000000
2509 35.0000000000
4033 36.0000000000
4663 37.0000000000
4673 38.0000000000
4784 40.0000000000
33672 41.0000000000
42201 29.0000000000
evaluations raw_y
1 23.0000000000
3 32.0000000000
622 33.0000000000
643 35.0000000000
787 37.0000000000
1360 38.0000000000
1363 41.0000000000
33280 42.0000000000
42199 26.0000000000
evaluations raw_y
1 27.0000000000
4 31.0000000000
37 33.0000000000
214 34.0000000000
1572 35.0000000000
1586 36.0000000000
1951 37.0000000000
1959 38.0000000000
2387 39.0000000000
2738 40.0000000000
2932 41.0000000000
42197 30.0000000000
evaluations raw_y
1 19.0000000000
2 25.0000000000
3 30.0000000000
983 31.0000000000
994 32.0000000000
1189 33.0000000000
1231 36.0000000000
6511 37.0000000000
6687 39.0000000000
7133 40.0000000000
13539 41.0000000000
13593 42.0000000000
42208 33.0000000000
evaluations raw_y
1 35.0000000000
22 36.0000000000
47 37.0000000000
3115 38.0000000000
3645 39.0000000000
11640 40.0000000000
19983 41.0000000000
24608 42.0000000000
42197 21.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
6 27.0000000000
7 28.0000000000
39 29.0000000000
83 30.0000000000
653 31.0000000000
1039 32.0000000000
1169 33.0000000000
1214 34.0000000000
1244 35.0000000000
2197 36.0000000000
2395 37.0000000000
2916 38.0000000000
10311 39.0000000000
13157 40.0000000000
14929 41.0000000000
15426 42.0000000000
42206 37.0000000000
evaluations raw_y
1 28.0000000000
4 33.0000000000
219 34.0000000000
295 35.0000000000
415 37.0000000000
432 38.0000000000
795 39.0000000000
5563 40.0000000000
42197 28.0000000000
