evaluations raw_y
1 19.0000000000
2 29.0000000000
10 31.0000000000
24 32.0000000000
53 33.0000000000
54 35.0000000000
143 36.0000000000
153 37.0000000000
252 38.0000000000
253 39.0000000000
771 40.0000000000
845 41.0000000000
938 42.0000000000
21946 43.0000000000
22219 41.0000000000
evaluations raw_y
1 22.0000000000
2 27.0000000000
6 30.0000000000
9 31.0000000000
34 32.0000000000
35 33.0000000000
359 34.0000000000
364 37.0000000000
927 38.0000000000
928 39.0000000000
930 41.0000000000
1025 42.0000000000
21655 43.0000000000
22214 25.0000000000
evaluations raw_y
1 24.0000000000
2 25.0000000000
6 28.0000000000
21 29.0000000000
34 30.0000000000
43 31.0000000000
44 32.0000000000
939 34.0000000000
1147 36.0000000000
1369 37.0000000000
1435 38.0000000000
1563 39.0000000000
1630 40.0000000000
1730 41.0000000000
1838 42.0000000000
1870 43.0000000000
22220 27.0000000000
evaluations raw_y
1 23.0000000000
4 24.0000000000
5 28.0000000000
123 29.0000000000
154 31.0000000000
240 32.0000000000
326 33.0000000000
328 34.0000000000
359 35.0000000000
438 36.0000000000
439 37.0000000000
568 38.0000000000
756 39.0000000000
1041 41.0000000000
1160 42.0000000000
3564 43.0000000000
22224 35.0000000000
evaluations raw_y
1 28.0000000000
22 29.0000000000
23 31.0000000000
58 32.0000000000
739 34.0000000000
858 35.0000000000
859 36.0000000000
861 37.0000000000
970 38.0000000000
1049 39.0000000000
1239 40.0000000000
1332 41.0000000000
3752 42.0000000000
11664 43.0000000000
22222 34.0000000000
evaluations raw_y
1 26.0000000000
23 27.0000000000
26 29.0000000000
27 30.0000000000
43 32.0000000000
143 33.0000000000
242 34.0000000000
849 36.0000000000
1767 37.0000000000
1864 39.0000000000
4156 41.0000000000
7433 42.0000000000
8051 43.0000000000
22222 33.0000000000
evaluations raw_y
1 23.0000000000
2 24.0000000000
6 26.0000000000
7 31.0000000000
8 33.0000000000
363 34.0000000000
529 35.0000000000
531 36.0000000000
658 37.0000000000
737 38.0000000000
742 39.0000000000
743 40.0000000000
853 41.0000000000
1030 42.0000000000
10467 43.0000000000
10562 44.0000000000
22220 39.0000000000
evaluations raw_y
1 28.0000000000
24 29.0000000000
31 30.0000000000
123 31.0000000000
128 32.0000000000
228 34.0000000000
349 35.0000000000
732 37.0000000000
2343 38.0000000000
2739 39.0000000000
2863 40.0000000000
2962 41.0000000000
10833 42.0000000000
22222 31.0000000000
evaluations raw_y
1 20.0000000000
2 30.0000000000
9 35.0000000000
26 36.0000000000
27 39.0000000000
726 40.0000000000
5148 41.0000000000
12455 42.0000000000
12527 43.0000000000
22217 37.0000000000
evaluations raw_y
1 33.0000000000
30 34.0000000000
37 35.0000000000
124 36.0000000000
156 37.0000000000
426 38.0000000000
1862 39.0000000000
1935 40.0000000000
2449 42.0000000000
7146 43.0000000000
7148 44.0000000000
22219 41.0000000000
evaluations raw_y
1 19.0000000000
2 25.0000000000
8 26.0000000000
9 28.0000000000
21 29.0000000000
22 31.0000000000
24 33.0000000000
428 35.0000000000
443 36.0000000000
828 37.0000000000
853 38.0000000000
1043 39.0000000000
1534 40.0000000000
1539 41.0000000000
1662 42.0000000000
1842 43.0000000000
2364 44.0000000000
22223 36.0000000000
evaluations raw_y
1 25.0000000000
4 28.0000000000
21 32.0000000000
37 33.0000000000
141 35.0000000000
225 36.0000000000
262 37.0000000000
444 39.0000000000
2635 40.0000000000
2737 41.0000000000
2969 42.0000000000
5754 43.0000000000
22220 36.0000000000
evaluations raw_y
1 30.0000000000
22 31.0000000000
44 34.0000000000
129 35.0000000000
140 36.0000000000
167 37.0000000000
654 38.0000000000
2047 40.0000000000
3952 41.0000000000
3953 42.0000000000
19168 43.0000000000
22219 32.0000000000
evaluations raw_y
1 32.0000000000
542 33.0000000000
954 34.0000000000
955 36.0000000000
1468 37.0000000000
1663 38.0000000000
1769 39.0000000000
1845 40.0000000000
2039 42.0000000000
2356 43.0000000000
2539 44.0000000000
2553 45.0000000000
2765 47.0000000000
22222 38.0000000000
evaluations raw_y
1 32.0000000000
30 33.0000000000
32 34.0000000000
33 35.0000000000
961 37.0000000000
1139 38.0000000000
1233 39.0000000000
3972 40.0000000000
4240 41.0000000000
4272 42.0000000000
12949 43.0000000000
22222 29.0000000000
evaluations raw_y
1 21.0000000000
2 27.0000000000
6 28.0000000000
10 31.0000000000
227 32.0000000000
441 36.0000000000
571 37.0000000000
646 38.0000000000
647 39.0000000000
1563 40.0000000000
1638 42.0000000000
2734 44.0000000000
22221 30.0000000000
evaluations raw_y
1 31.0000000000
65 32.0000000000
131 33.0000000000
231 36.0000000000
463 37.0000000000
1265 38.0000000000
1266 39.0000000000
1335 40.0000000000
1841 41.0000000000
8855 42.0000000000
11943 43.0000000000
12634 44.0000000000
22222 35.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
5 34.0000000000
639 35.0000000000
646 36.0000000000
647 37.0000000000
1461 38.0000000000
4030 39.0000000000
6871 40.0000000000
7258 41.0000000000
7457 42.0000000000
9533 43.0000000000
22222 33.0000000000
evaluations raw_y
1 24.0000000000
4 27.0000000000
7 30.0000000000
25 32.0000000000
158 33.0000000000
164 34.0000000000
240 35.0000000000
1534 38.0000000000
1567 39.0000000000
1633 40.0000000000
1837 41.0000000000
3161 42.0000000000
11935 43.0000000000
